0;CLASSIC BOWL;18.95;Ahi tuna & Salmon, House soy sauce, Cucumber, Edamame, Greens, Tobiko, Green onion, Sesame seeds, Nori, Red cabbage, Onion crisps;1
0;CHICKEN BOWL;18.95;Grilled chicken, Japanese mayo & Teriyaki sauce, Cucumber, Green onion, Greens, Sesame seeds, Nori, Red cabbage, Tempura flakes;1
0;VEGGIE BOWL;18.7;Organic tofu, Teriyaki sauce, Cucumber, Green onion, Greens, Edamame, Sesame seeds, Nori, Red cabbage, Rice cracker bits;1
0;HAWAII BOWL;20.95;Torched Salmon, Spicy mayo, Wasabi mayo, Teriyaki sauce, Cucumber, Edamame, Greens, Tobiko, Green onion, Sesame seeds, Nori, Red cabbage, Onion crisps;1
0;SPICY BOWL;18.95;Salmon, Spicy mayo, Cucumber, Edamame, Greens, Tobiko, Green onion, Sesame seeds, Nori, Red cabbage, Tempura flakes;1
0;ISLAND BOWL;19.95;Torched Crab meat & Shrimp, Mayo, Cucumber, Edamame, Greens, Tobiko, Green onion, Sesame seeds, Nori, Red cabbage, Tempura flakes;1
0;SCAMPI BOWL;17.2;Hawaiian Butter Garlic Shrimp, Lettuce, Green onion, Red cabbage;1
0;OAHU BOWL;20.95;Torched Ahi tuna, Spicy mayo, Wasabi mayo, Teriyaki sauce, Cucumber, Edamame, Greens, Tobiko, Green onion, Sesame seeds, Nori, Red cabbage, Tempura flakes;1
0;Spring Tray [40 PC];49.99;Sashimi (12pcs), Sushi (10pcs), California roll (6pc), Spicy Tuna roll (6pc), Tempura Shrimp roll (6pc);2
0;Summer Tray [60 PC];68.99;Sashimi (18pcs), Sushi (18pcs), California roll (6pc), Spicy Tuna roll (6pc), Tempura Shrimp roll (6pc), BBQ Eel roll (6pc);2
0;Autumn Tray [80 PC];87.99;Sashimi (20pcs), Sushi (18pcs), California roll (6pc), Spicy Tuna roll (6pc), Tempura Shrimp roll (6pc), Black Dragon roll (8pc), Red Dragon Roll (8pcs), Green Dragon Roll (8pcs);2
0;Winter Tray [100 PC];100;Sashimi (30pcs), Sushi (25pcs), California roll (6pcs), Spicy Tuna roll (6pcs), Tempura Shrimp roll (6pcs), Black Dragon roll (8pcs), Green Dragon roll (8pcs), Las Vegas roll (5pcs), Spicy Salmon roll (6pcs);2
0;Sushi Roll Party Tray [38 PC];38.99;California roll (6pc), Spicy salmon roll (6pc), Spicy tuna roll (6pc), B.B.Q. Eel roll (6pc), Tempura shrimp roll (6pc), Green dragon roll (8pc);2
0;Mega Sushi Roll Party Tray [60 PC];59.99;California Roll (6pc), Spicy Salmon Roll (6pc), Spicy Tuna Roll (6pc), B.B.Q. Eel Roll (6pc), Tempura Shrimp Roll (6pc), Green Dragon Roll (8pc), Las Vegas Roll (10pc), Salmon Avocado Roll (6pc), Yam Tempura Roll (6pc);2
0;Vegetable Roll Party Tray [36 PC];38.99;Avocado cucumber roll (6pc), Avocado Roll (6pc), Cucumber Roll (6pc), Yam tempura roll (12pc), Bean curd pocket crispy avocado roll (6pc);2
0;House Salad;20;;3
0;Mango Salad;24;Fresh apple mango, green and red bell pepper, onion, spinach, serving with fish sauce dressing;3
0;Seaweed Salad;24;Mix of seaweed, sesame seed, ginger, vinegar, garlic;3
0;Salmon Salad;28;Charred salmon, spinach, radish, red bell pepper, topped with sweeten miso dressing;3
0;Strawberry Daiquiri;8.5;;4
0;Lychee Mojito;8.5;;4
0;Pina Colada;8.5;;4
0;Miami Vice;8.5;;4
0;Yuzu Margarita;8.5;yuzu honey | tequila | cointreau | soda;4
0;Sake Mojito;8.5;sake | white rum | lime juice | soda | mint;4
0;Kapa Sake;8.5;sake | vodka | lime juice | soda | cucumber;4
0;Kawaii;4.99;;4
0;Crazy Mango;5;;4
0;Vanilla Milkshake;5.99;;4
0;Strawberry Milkshake;5.99;;4
0;Cosmo;8.25;;4
0;Dry Martini;8.25;;4
0;Green Apple;8.25;;4
